VID,Company
03EB_2FEF,ATMEGA16U2 DFU BOOTLOADER
03EB_2FF0,ATMEGA32U2 DFU BOOTLOADER
03EB_2FF1,AT32UC3A3 DFU BOOTLOADER
03EB_2FF3,ATMEGA16U4 DFU BOOTLOADER
03EB_2FF4,ATMEGA32U4 DFU BOOTLOADER
03EB_2FF6,AT32UC3B0/1 DFU BOOTLOADER
03EB_2FF7,AT90USB82 DFU BOOTLOADER
03EB_2FF8,AT32UC3A0/1 DFU BOOTLOADER
03EB_2FF9,AT90USB646/647 DFU BOOTLOADER
03EB_2FFA,AT90USB162 DFU BOOTLOADER
03EB_2FFB,AT90USB AVR DFU BOOTLOADER
03EB_2FFD,AT89C5130/C5131 DFU BOOTLOADER
03EB_2FFF,AT89C5132/C51SND1C DFU BOOTLOADER
03EB_3301,AT43301 4-PORT HUB
03EB_3312,4-PORT HUB
03EB_4102,AIRVAST W-BUDDIE WN210
03EB_5601,AT76C510 PRISM-II 802.11B ACCESS POINT
03EB_5603,CISCO 7920 WIFI IP PHONE
03EB_6119,AT91SAM CDC DEMO APPLICATION
03EB_6124,AT91SAM SAMBA BOOTLOADER
03EB_6127,AT91SAM HID KEYBOARD DEMO APPLICATION
03EB_6129,AT91SAM MASS STORAGE DEMO APPLICATION
03EB_6200,AT91SAM HID MOUSE DEMO APPLICATION
03EB_7603,D-LINK DWL-120 802.11B WIRELESS ADAPTER [ATMEL AT76C503A]
03EB_7604,AT76C503A 802.11B ADAPTER
03EB_7605,AT76C503A 802.11B ADAPTER
03EB_7606,AT76C505 802.11B ADAPTER
03EB_7611,AT76C510 RFMD2948 802.11B ACCESS POINT
03EB_7613,WL-1130 USB
03EB_7614,AT76C505A WIRELESS ADAPTER
03EB_7615,AT76C505AMX WIRELESS ADAPTER
03EB_7617,AT76C505AS WIRELESS ADAPTER
03EB_7800,MINI ALBUM
03EB_800C,AIRSPY HF+
03EB_FF01,WOOTINGONE
03EB_FF02,WOOTINGTWO
03EB_FF07,TUX DROID FISH DONGLE
03EC,IWATSU AMERICA INC.
03ED,MITEL CORP.
03EE,MITSUMI
03EE_0000,CD-R/RW DRIVE
03EE_2501,EHOME INFRARED RECEIVER
03EE_2502,EHOME INFRARED RECEIVER
03EE_5609,JAPANESE KEYBOARD
03EE_641F,WIF-0402C BLUETOOTH ADAPTER
03EE_6438,BLUETOOTH DEVICE
03EE_6440,WML-C52APR BLUETOOTH ADAPTER
03EE_6901,SMARTDISK FDD
03EE_6902,FLOPPY DISK DRIVE
03EE_7500,CD-R/RW
03EE_FFFF,DONGLE WITH BLUECORE IN DFU MODE
03F0,HP INC
03F0_0004,DESKJET 895C
03F0_0011,OFFICEJET G55
03F0_0012,DESKJET 1125C PRINTER PORT
03F0_0024,KU-0316 KEYBOARD
03F0_002A,LASERJET P1102
03F0_0036,CCID SMARTCARD KEYBOARD KUS0133
03F0_0053,DESKJET 2620 ALL-IN-ONE PRINTER
03F0_0101,SCANJET 4100C
03F0_0102,PHOTOSMART S20
03F0_0104,DESKJET 880C/970C
03F0_0105,SCANJET 4200C
03F0_0107,CD-WRITER PLUS
03F0_010C,MULTIMEDIA KEYBOARD HUB
03F0_0111,G55XI PRINTER/SCANNER/COPIER
03F0_0117,LASERJET 3200
03F0_011C,HN210W 802.11B ADAPTER
03F0_011D,BLUETOOTH 1.2 INTERFACE [BROADCOM BCM2035]
