VID, COMPANY
0490,UNITED MICROELECTRONICS CORP.
0491,CAPETRONIC
0492,SAMSUNG SEMICONDUCTOR INC.
0493,MAG TECHNOLOGY CO. LTD
0495,ESS TECHNOLOGY INC.
0496,MICRON ELECTRONICS
0497,SMILE INTERNATIONAL
0498,CAPETRONIC (KAOHSIUNG) CORP.
0499,YAMAHA CORP.
049A,GANDALF TECHNOLOGIES LTD
049B,CURTIS COMPUTER PRODUCTS
049C,ACER ADVANCED LABS INC.
049D,VLSI TECHNOLOGY
049F,COMPAQ COMPUTER CORP.
04A0,DIGITAL EQUIPMENT CORP.
04A1,SYSTEMSOFT CORP.
04A2,FIREPOWER SYSTEMS
04A3,TRIDENT MICROSYSTEMS INC.
04A4,HITACHI LTD
04A5,ACER PERIPHERALS INC. (NOW BENQ CORP.)
04A6,NOKIA DISPLAY PRODUCTS
04A7,VISIONEER
04A8,MULTIVIDEO LABS INC.
04A9,CANON INC.
04AA,DAEWOO TELECOM LTD
04AB,CHROMATIC RESEARCH
04AC,MICRO AUDIOMETRICS CORP.
04AD,DOOIN ELECTRONICS
04AF,WINNOV L.P.
04B0,NIKON CORP.
04B1,PAN INTERNATIONAL
04B3,IBM CORP.
04B4,CYPRESS SEMICONDUCTOR CORP.
04B5,ROHM LSI SYSTEMS USA LLC
04B6,HINT CORP.
04B7,COMPAL ELECTRONICS INC.
04B8,SEIKO EPSON CORP.
04B9,RAINBOW TECHNOLOGIES INC.
04BA,TOUCAN SYSTEMS LTD
04BB,I-O DATA DEVICE INC.
04BD,TOSHIBA ELECTRONICS TAIWAN CORP.
04BE,TELIA RESEARCH AB
04BF,TDK CORP.
04C1,U.S. ROBOTICS (3COM)
04C2,METHODE ELECTRONICS FAR EAST PTE LTD
04C3,MAXI SWITCH INC.
04C4,LOCKHEED MARTIN ENERGY RESEARCH
04C5,FUJITSU LTD
04C6,TOSHIBA AMERICA ELECTRONIC COMPONENTS
04C7,MICRO MACRO TECHNOLOGIES
04C8,KONICA CORP.
04CA,LITE-ON TECHNOLOGY CORP.
04CB,FUJI PHOTO FILM CO. LTD
04CC,ST-ERICSSON
04CD,TATUNG CO. OF AMERICA
04CE,SCANLOGIC CORP.
04CF,MYSON CENTURY INC.
04D0,DIGI INTERNATIONAL
04D1,ITT CANON
04D2,ALTEC LANSING TECHNOLOGIES
04D3,VIDUS INC.
04D4,LSI LOGIC INC.
04D5,FORTE TECHNOLOGIES INC.
04D6,MENTOR GRAPHICS
04D7,OKI SEMICONDUCTOR
04D8,MICROCHIP TECHNOLOGY INC.
04D9,HOLTEK SEMICONDUCTOR INC.
04DA,PANASONIC (MATSUSHITA)
04DB,HYPERTEC PTY LTD
04DC,HUAN HSIN HOLDINGS LTD
04DD,SHARP CORP.
04DE,MINDSHARE INC.
04DF,INTERLINK ELECTRONICS
04E1,IIYAMA NORTH AMERICA INC.
04E2,EXAR CORP.
04E3,ZILOG INC.
04E4,ACC MICROELECTRONICS
04E5,PROMISE TECHNOLOGY
04E6,SCM MICROSYSTEMS INC.
04E7,ELO TOUCHSYSTEMS
04E8,SAMSUNG ELECTRONICS CO. LTD
04E9,PC-TEL INC.
04EA,BROOKTREE CORP.
04EB,NORTHSTAR SYSTEMS INC.
04EC,TOKYO ELECTRON DEVICE LTD
04ED,ANNABOOKS
04EF,PACIFIC ELECTRONIC INTERNATIONAL INC.
04F0,DAEWOO ELECTRONICS CO. LTD
04F1,VICTOR COMPANY OF JAPAN LTD
04F2,CHICONY ELECTRONICS CO. LTD
04F3,ELAN MICROELECTRONICS CORP.
04F4,HARTING ELEKTRONIK INC.
04F5,FUJITSU-ICL SYSTEMS INC.
04F6,NORAND CORP.
04F7,NEWNEX TECHNOLOGY CORP.
04F8,FUTUREPLUS SYSTEMS
04F9,BROTHER INDUSTRIES LTD
04FA,DALLAS SEMICONDUCTOR
04FB,BIOSTAR MICROTECH INTERNATIONAL CORP.
04FC,SUNPLUS TECHNOLOGY CO. LTD
04FD,SOLITON SYSTEMS K.K.
04FE,PFU LTD
04FF,E-CMOS CORP.
0500,SIAM UNITED HI-TECH
0501,FUJIKURA DDK LTD
0502,ACER INC.
0503,HITACHI AMERICA LTD
0504,HAYES MICROCOMPUTER PRODUCTS
0506,3COM CORP.
0507,HOSIDEN CORP.
0508,CLARION CO. LTD
0509,AZTECH SYSTEMS LTD
050A,CINCH CONNECTORS
050B,CABLE SYSTEM INTERNATIONAL
050C,INNOMEDIA INC.
050D,BELKIN COMPONENTS
050E,NEON TECHNOLOGY INC.
050F,KC TECHNOLOGY INC.
0510,SEJIN ELECTRON INC.
0511,N'ABLE (DATABOOK) TECHNOLOGIES INC.
0512,HUALON MICROELECTRONICS CORP.
0513,DIGITAL-X INC.
0514,FCI ELECTRONICS
0515,ACTC
0516,LONGWELL ELECTRONICS
0517,BUTTERFLY COMMUNICATIONS
0518,EZKEY CORP.
0519,STAR MICRONICS CO. LTD
051A,WYSE TECHNOLOGY
051B,SILICON GRAPHICS
051C,SHUTTLE INC.
051D,AMERICAN POWER CONVERSION
051E,SCIENTIFIC ATLANTA INC.
051F,IO SYSTEMS (ELITE ELECTRONICS) INC.
0520,TAIWAN SEMICONDUCTOR MANUFACTURING CO.
0521,AIRBORN CONNECTORS
0522,ADVANCED CONNECTEK INC.
0523,ATEN GMBH
0524,SOLA ELECTRONICS
0525,NETCHIP TECHNOLOGY INC.
0526,TEMIC MHS S.A.
0527,ALTRA
0528,ATI TECHNOLOGIES INC.
0529,ALADDIN KNOWLEDGE SYSTEMS
052A,CRESCENT HEART SOFTWARE
052B,TEKOM TECHNOLOGIES INC.
052C,CANON INFORMATION SYSTEMS INC.
052D,AVID ELECTRONICS CORP.
052E,STANDARD MICROSYSTEMS CORP.
052F,UNICORE SOFTWARE INC.
0530,AMERICAN MICROSYSTEMS INC.
0531,WACOM TECHNOLOGY CORP.
0532,SYSTECH CORP.
0533,ALCATEL MOBILE PHONES
0534,MOTOROLA INC.
0535,LIH TZU ELECTRIC CO. LTD
0536,HAND HELD PRODUCTS (WELCH ALLYN INC.)
0537,INVENTEC CORP.
0538,CALDERA INTERNATIONAL INC. (SCO)
0539,SHYH SHIUN TERMINALS CO. LTD
053A,PREHKEYTEC GMBH
053B,GLOBAL VILLAGE COMMUNICATION
053C,INSTITUT OF MICROELECTRONIC & MECHATRONIC SYSTEMS
053D,SILICON ARCHITECT
053E,MOBILITY ELECTRONICS
053F,SYNOPSYS INC.
0540,UNIACCESS AB
0541,SIRF TECHNOLOGY INC.
0543,VIEWSONIC CORP.
0544,CRISTIE ELECTRONICS LTD
0545,XIRLINK INC.
0546,POLAROID CORP.
0547,ANCHOR CHIPS INC.
0548,TYAN COMPUTER CORP.
0549,PIXERA CORP.
054A,FUJITSU MICROELECTRONICS INC.
054B,NEW MEDIA CORP.
054C,SONY CORP.
054D,TRY CORP.
054E,PROSIDE CORP.
054F,WYSE TECHNOLOGY TAIWAN
0550,FUJI XEROX CO. LTD
0551,COMPUTREND SYSTEMS INC.
0552,PHILIPS MONITORS
0553,STMICROELECTRONICS IMAGING DIVISION (VLSI VISION)
0554,DICTAPHONE CORP.
0555,ANAM S&T CO. LTD
0556,ASAHI KASEI MICROSYSTEMS CO. LTD
0557,ATEN INTERNATIONAL CO. LTD
0558,TRUEVISION INC.
0559,CADENCE DESIGN SYSTEMS INC.
055A,KENWOOD USA
055B,KNOWLEDGETEK INC.
055C,PROTON ELECTRONIC IND.
055D,SAMSUNG ELECTRO-MECHANICS CO.
055E,CTX OPTO-ELECTRONICS CORP.
055F,MUSTEK SYSTEMS INC.
0560,INTERFACE CORP.
0561,OASIS DESIGN INC.
0562,TELEX COMMUNICATIONS INC.
0563,IMMERSION CORP.
0564,KODAK DIGITAL PRODUCT CENTER JAPAN LTD. (FORMERLY CHINON INDUSTRIES INC.)
0565,PERACOM NETWORKS INC.
0566,MONTEREY INTERNATIONAL CORP.
0567,XYRATEX INTERNATIONAL LTD
0568,QUARTZ INGENIERIE
0569,SEGASOFT
056A,WACOM CO. LTD
056B,DECICON INC.
056C,ETEK LABS
056D,EIZO CORP.
056E,ELECOM CO. LTD
